Rank,NCTId,Phase,StudyType,ConditionMeshTerm,PrimaryOutcomeMeasure,StdAge,InterventionType,InterventionName,InterventionOtherName,InterventionMeshTerm,InterventionAncestorTerm,LeadSponsorName,LeadSponsorClass,ResponsiblePartyInvestigatorAffiliation,OverallOfficialAffiliation,CollaboratorName,CollaboratorClass,BriefSummary
937,NCT02052648,Phase 1|Phase 2,Interventional,Glioblastoma|Brain Neoplasms|Gliosarcoma,Phase 1: Determine Phase 2 Dosing|Phase 2: Efficacy,Child|Adult|Older Adult,Drug|Drug|Drug|Radiation,Indoximod|Temozolomide|Bevacizumab|Stereotactic Radiation,1-methyl-D-tryptophan|D-1MT|Temodar|Methazolastone|Avastin|SRS or SRT,Bevacizumab|Temozolomide|Tryptophan,"Antineoplastic Agents, Immunological|Antineoplastic Agents|Angiogenesis Inhibitors|Angiogenesis Modulating Agents|Growth Substances|Physiological Effects of Drugs|Growth Inhibitors|Antineoplastic Agents, Alkylating|Alkylating Agents|Molecular Mechanisms of Pharmacological Action|Antidepressive Agents, Second-Generation|Antidepressive Agents|Psychotropic Drugs",NewLink Genetics Corporation,INDUSTRY,,,,,"In this study, investigators will conduct a phase I/II trial in recurrent (temozolomide resistant) glioma patients. The overall goal of this study is to provide a foundation for future studies with indoximod tested in newly diagnosed glioblastoma patients with radiation and temozolomide, or in combination with vaccine therapies."
938,NCT02784366,,Observational,Melanoma,GI disease activity|Biospecimen collection,Adult|Older Adult,,,,,,Massachusetts General Hospital,OTHER,Massachusetts General Hospital,Massachusetts General Hospital|Massachusetts General Hospital,Dana-Farber Cancer Institute,OTHER,The purpose of this study is to establish a prospective observational cohort of cancer immunotherapy patients with GI side effects in order to identify biomarkers that predict GI complications due to treatment.
939,NCT01433809,,Observational,Neoplasms|Thyroid Neoplasms|Adenoma|Thyroid Diseases,Distinguish follicular adenoma from follicular carcinoma,Adult|Older Adult,,,,,,Norman Eberhardt,OTHER,Mayo Clinic,Mayo Clinic,,,"This protocol will evaluate microRNA biomarkers in blood and fine-needle aspirate biopsies (FNAB) of thyroid nodules. MicroRNA profiles will be determined and evaluated for their utility in pre-operative diagnosis, in particular to distinguish benign from malignant throid neoplasms. Post-surgical fresh-frozen thyroid cancer tissue will be assessed for somatic mutations, mRNA, and microRNA expression patterns. FFPE tissue will be used to obtain H&E and unstained slides to specific biomarker results using immunohistochemistry."
940,NCT02774759,Not Applicable,Interventional,"Neoplasms|Endometrial Neoplasms|Genital Neoplasms, Female|Weight Loss",Feasibility of Two Home-Based Weight Loss Interventions for Endometrial Cancer Survivors|Feasibility of Two Home-Based Weight Loss Interventions for Endometrial Cancer Survivors|Feasibility of Two Home-Based Weight Loss Interventions for Endometrial Cancer Survivors|Feasibility of Two Home-Based Weight Loss Interventions for Endometrial Cancer Survivors,Adult|Older Adult,Device|Behavioral|Behavioral|Behavioral|Behavioral|Behavioral|Behavioral,Accelerometer|Questionnaires|Fitness Test|Resistance Training|Aerobic Exercise|Telephone Coaching/Phone Calls|Video Chat Sessions,Surveys,,,M.D. Anderson Cancer Center,OTHER,,M.D. Anderson Cancer Center,National Cancer Institute (NCI),NIH,The goal of this research study is to learn if a home-based physical activity program is feasible and can help endometrial cancer survivors lose weight.
941,NCT00667641,Phase 1,Interventional,Breast Neoplasms|Lung Neoplasms|Prostatic Neoplasms|Melanoma|Pancreatic Neoplasms,Maximum tolerated dose of paclitaxel in combination with bortezomib,Adult|Older Adult,Drug|Drug,bortezomib|paclitaxel,,Paclitaxel|Bortezomib,"Antineoplastic Agents, Phytogenic|Antineoplastic Agents|Tubulin Modulators|Antimitotic Agents|Mitosis Modulators|Molecular Mechanisms of Pharmacological Action",University of Medicine and Dentistry of New Jersey,OTHER,,Rutgers Cancer Institute of New Jersey,National Cancer Institute (NCI),NIH,"RATIONALE: Drugs used in chemotherapy, such as paclitaxel, work in different ways to stop the growth of tumor cells, either by killing the cells or by stopping them from dividing. Bortezomib may stop the growth of tumor cells by blocking some of the enzymes needed for cell growth. Giving paclitaxel together with bortezomib may kill more tumor cells.||PURPOSE: This phase I trial is studying the side effects and best dose of paclitaxel and bortezomib in treating patients with metastatic or unresectable malignant solid tumors."
942,NCT04278534,Not Applicable,Interventional,Neoplasms,Knowledge of radiation therapy (RT),Adult|Older Adult,Other|Other|Other|Other,Educational Intervention|Educational Intervention|Educational Intervention|Survey Administration,"Education for Intervention|Intervention by Education|Intervention through Education|Intervention, Educational|Education for Intervention|Intervention by Education|Intervention through Education|Intervention, Educational|Education for Intervention|Intervention by Education|Intervention through Education|Intervention, Educational",,,OHSU Knight Cancer Institute,OTHER,OHSU Knight Cancer Institute,OHSU Knight Cancer Institute,Oregon Health and Science University,OTHER,This trial studies the use of virtual reality as an educational tool for cancer patients undergoing radiation therapy. The purpose of the study is to learn about virtual reality education (VERT) and if it may be able to help people who are planning to receive radiation therapy. Patient education using virtual reality may result in better understanding and/or decreased anxiety in patients receiving radiation therapy.
943,NCT01385579,Not Applicable,Interventional,Colorectal Neoplasms|Neoplasms,Completion of a Colorectal Cancer Screening,Adult|Older Adult,Other,Care manager outreach,,,,Northwestern University,OTHER,Northwestern University,"Northwestern University, Feinberg School of Medicine, Department of Family and Community Medicine",,,The purpose of this study is to determine if the direct mailing of fecal occult blood testing (FOBT) kits to patients who are due for colorectal cancer screening is an effective way to improve colorectal cancer screening rates within a low income and racially/ethnically diverse population.
944,NCT00078637,Phase 1,Interventional,Lymphoma,,Adult|Older Adult,Drug,E7820,,,,Eisai Inc.,INDUSTRY,,Eisai Inc.,,,"This is a first-in-man, open-label, non-randomized, multiple dose, multiple cycle, dose escalation study to determine the MTD, safety, PK, and pharmacodynamics of E7820 in patients with a malignant solid tumor or lymphoma."
945,NCT02480790,,Observational,"Ovarian Neoplasms|Carcinoma, Ovarian Epithelial|Thrombosis|Embolism|Thromboembolism|Venous Thromboembolism|Venous Thrombosis",Venous thromboembolism due to ovarian cancer,Adult|Older Adult,,,,,,"Ole Thorlacius-Ussing, MD, DMSc, Professor of Surgery",OTHER,Aalborg University Hospital,"Department of Gastrointestinal Surgery, Aalborg University Hospital",,,Objectives of the study are: To estimate the incidence of venous thromboembolism (VTE) in a cohort of women with suspected ovarian cancer and evaluate changes in the coagulation system in case of benign or malignant disease. The impact of changes in the coagulation system on disease prognosis will be evaluated.
946,NCT03321903,,Observational,"Carcinoma|Neoplasms|Breast Neoplasms|Head and Neck Neoplasms|Carcinoma, Squamous Cell|Skin Neoplasms|Carcinoma, Basal Cell",Measurement of oxygen levels in tissues in response to hyperoxic therapy,Adult|Older Adult,Device|Other,Carlo Erba Ink Injection|EPR Oximetry Measurement,Carbon particulate suspension|Charcoal suspension|Oxygen measurement|oximetry measurement,Charcoal,Antidotes|Protective Agents|Physiological Effects of Drugs,Philip Schaner,OTHER,Dartmouth-Hitchcock Medical Center,Dartmouth-Hitchcock Medical Center,National Cancer Institute (NCI),NIH,"It has been well established that malignant tumors tend to have low levels of oxygen and that tumors with very low levels of oxygen are more resistant to radiotherapy and other treatments, such as chemotherapy and immunotherapy. Previous attempts to improve response to therapy by increasing the oxygen level of tissues have had disappointing results and collectively have not led to changing clinical practice. Without a method to measure oxygen levels in tumors or the ability to monitor over time whether tumors are responding to methods to increase oxygen during therapy, clinician's reluctance to use oxygen therapy in usual practice is not surprising.||The hypothesis underlying this research is that repeated measurements of tissue oxygen levels can be used to optimize cancer therapy, including combined therapy, and to minimize normal tissue side effects or complications. Because studies have found that tumors vary both in their initial levels of oxygen and exhibit changing patterns during growth and treatment, we propose to monitor oxygen levels in tumors and their responsiveness to hyperoxygenation procedures. Such knowledge about oxygen levels in tumor tissues and their responsiveness to hyper-oxygenation could potentially be used to select subjects for particular types of treatment, or otherwise to adjust routine care for patients known to have hypoxic but unresponsive tumors in order to improve their outcomes.||The overall objectives of this study are to establish the clinical feasibility and efficacy of using in vivo electron paramagnetic resonance (EPR) oximetry-a technique related to magnetic resonance imaging (MRI)-to obtain direct and repeated measurements of clinically useful information about tumor tissue oxygenation in specific groups of subjects with the same types of tumors, and to establish the clinical feasibility and efficacy of using inhalation of enriched oxygen to gain additional clinically useful information about responsiveness of tumors to hyper-oxygenation. Two devices are used: a paramagnetic charcoal suspension (Carlo Erba India ink) and in vivo EPR oximetry to assess oxygen levels. The ink is injected and becomes permanent in the tissue at the site of injection unless removed; thereafter, the in vivo oximetry measurements are noninvasive and can be repeated indefinitely."
947,NCT01657214,Phase 1,Interventional,Neoplasms,- DOSE ESCALATION To determine the maximum tolerated dose (MTD) of SAR125844|- EXPANSION Cohort To evaluate the preliminary anti-tumoral effect of SAR125844,Adult|Older Adult,Drug,SAR125844,,,,Sanofi,INDUSTRY,,Sanofi,,,Primary Objective:||In the dose escalation: to determine the maximum tolerated dose (MTD) of SAR125844.||In the expansion cohort: to evaluate the preliminary anti-tumoral effect of SAR125844 in patients with measurable and MET gene amplification (including gastric cancer patients).||Secondary Objectives:||To characterize and confirm the global safety profile of SAR125844 including cumulative toxicities.||To assess preliminary antitumor activity of SAR125844. To explore the pharmacodynamic effects (PDy) of SAR125844. To evaluate the pharmacokinetic profile of SAR125844. To explore the relationship of MET gene amplification status with antitumor effects.||To evaluate other pharmacodynamic biomarkers.
948,NCT00365105,Phase 3,Interventional,Breast Neoplasms|Lung Neoplasms|Prostatic Neoplasms|Neoplasm Metastasis,Time to Development of a Malignant Skeletal-related Events (SRE),Adult|Older Adult,Dietary Supplement|Dietary Supplement|Drug|Drug|Radiation,Calcium|Vitamin D|zoledronic acid|Sm-153|Sr-89,Zometa|Samarium-153|Strontium-89,Vitamin D|Zoledronic Acid|Calcium,Vitamins|Micronutrients|Physiological Effects of Drugs|Calcium-Regulating Hormones and Agents|Bone Density Conservation Agents,Radiation Therapy Oncology Group,NETWORK,,Summa Center for Cancer Care at Akron City Hospital,National Cancer Institute (NCI)|NRG Oncology,NIH|OTHER,"RATIONALE: Zoledronate, vitamin D and calcium may prevent or delay bone pain and other symptoms caused by bone metastases. It is not yet known whether giving zoledronate together with vitamin D and calcium is more effective with or without strontium 89 or samarium 153 in treating patients with bone metastases from prostate cancer, lung cancer, or breast cancer.||PURPOSE: This randomized phase III trial is studying zoledronate, vitamin D, and calcium to see how well they work compared to zoledronate, vitamin D, calcium, and either strontium 89 or samarium 153 in preventing or delaying bone problems in patients with bone metastases from prostate cancer, lung cancer, or breast cancer."
